time_min,stage,kind,detail
6324.05,outbound,depart,truck=54;load_kind=scr;ton=0.0
6337.25,outbound,depart,truck=56;load_kind=flake;ton=22.0
6350.00,press,pallet_done,pallet=134;buffer=0
6360.00,inbound,arrive,truck=41
6365.00,inbound,weigh_in,truck=41
6376.28,outbound,depart,truck=55;load_kind=scr;ton=0.0
6376.54,outbound,arrive,truck=57;load_kind=flake
6382.50,melting,elevator_done,furnace=2;trips=16
6385.00,inbound,unloaded,truck=41
6390.00,inbound,depart,truck=41
6392.50,press,pallet_done,pallet=135;buffer=0
6415.00,sorting,sort_done,truck=41
6420.00,inbound,arrive,truck=42
6425.00,inbound,weigh_in,truck=42
6435.00,press,pallet_done,pallet=136;buffer=0
6445.00,inbound,unloaded,truck=42
6450.00,inbound,depart,truck=42
6475.00,sorting,sort_done,truck=42
6477.50,press,pallet_done,pallet=137;buffer=0
6480.00,inbound,arrive,truck=43
6485.00,inbound,weigh_in,truck=43
6502.50,melting,melt_start,furnace=2
6505.00,inbound,unloaded,truck=43
6510.00,inbound,depart,truck=43
6520.00,press,pallet_done,pallet=138;buffer=0
6535.00,sorting,sort_done,truck=43
6540.00,inbound,arrive,truck=44
6545.00,inbound,weigh_in,truck=44
6562.50,press,pallet_done,pallet=139;buffer=0
6565.00,inbound,unloaded,truck=44
6570.00,inbound,depart,truck=44
6595.00,sorting,sort_done,truck=44
6595.92,outbound,arrive,truck=58;load_kind=scr
6600.00,inbound,arrive,truck=45
6605.00,press,pallet_done,pallet=140;buffer=0
6605.92,inbound,weigh_in,truck=45
6625.92,inbound,unloaded,truck=45
6627.82,outbound,arrive,truck=59;load_kind=scr
6630.14,outbound,depart,truck=57;load_kind=flake;ton=6.0
6635.14,inbound,depart,truck=45
6647.50,press,pallet_done,pallet=141;buffer=0
6655.92,sorting,sort_done,truck=45
6660.00,inbound,arrive,truck=46
6665.00,inbound,weigh_in,truck=46
6685.00,inbound,unloaded,truck=46
6690.00,inbound,depart,truck=46
6690.00,press,pallet_done,pallet=142;buffer=0
6712.33,outbound,arrive,truck=60;load_kind=flake
6715.00,sorting,sort_done,truck=46
6720.00,inbound,arrive,truck=47
6725.00,inbound,weigh_in,truck=47
6732.50,press,pallet_done,pallet=143;buffer=0
6745.00,inbound,unloaded,truck=47
6750.00,inbound,depart,truck=47
6775.00,sorting,sort_done,truck=47
6775.00,press,pallet_done,pallet=144;buffer=0
6780.00,inbound,arrive,truck=48
6785.00,inbound,weigh_in,truck=48
6805.00,inbound,unloaded,truck=48
6810.00,inbound,depart,truck=48
6817.50,press,pallet_done,pallet=145;buffer=0
6835.00,sorting,sort_done,truck=48
6840.00,inbound,arrive,truck=49
6841.72,outbound,arrive,truck=61;load_kind=scr
6845.00,inbound,weigh_in,truck=49
6850.00,outbound,depart,truck=58;load_kind=scr;ton=0.0
6860.00,press,pallet_done,pallet=146;buffer=0
6865.00,inbound,unloaded,truck=49
6870.00,inbound,depart,truck=49
6885.14,outbound,depart,truck=59;load_kind=scr;ton=0.0
6895.00,sorting,sort_done,truck=49
6900.00,inbound,arrive,truck=50
6902.50,press,pallet_done,pallet=147;buffer=0
6905.00,inbound,weigh_in,truck=50
6925.00,inbound,unloaded,truck=50
6930.00,inbound,depart,truck=50
6945.00,press,pallet_done,pallet=148;buffer=0
6955.00,sorting,sort_done,truck=50
6962.33,outbound,depart,truck=60;load_kind=flake;ton=0.0
6977.43,outbound,arrive,truck=62;load_kind=scr
6977.48,outbound,arrive,truck=63;load_kind=scr
6979.25,outbound,arrive,truck=64;load_kind=scr
6987.50,press,pallet_done,pallet=149;buffer=0
7030.00,press,pallet_done,pallet=150;buffer=0
7072.50,press,pallet_done,pallet=151;buffer=0
7100.00,outbound,depart,truck=61;load_kind=scr;ton=0.0
7115.00,press,pallet_done,pallet=152;buffer=0
7157.50,press,pallet_done,pallet=153;buffer=0
7169.12,outbound,arrive,truck=65;load_kind=scr
7200.00,press,pallet_done,pallet=154;buffer=0
7202.19,outbound,arrive,truck=66;load_kind=flake
7222.50,melting,melt_done,furnace=2
7227.43,outbound,depart,truck=62;load_kind=scr;ton=0.0
7232.43,outbound,depart,truck=63;load_kind=scr;ton=0.0
7237.43,outbound,depart,truck=64;load_kind=scr;ton=0.0
7242.50,press,pallet_done,pallet=155;buffer=0
7285.00,press,pallet_done,pallet=156;buffer=0
7327.50,press,pallet_done,pallet=157;buffer=0
7370.00,press,pallet_done,pallet=158;buffer=0
7372.50,casting,flake_done,furnace=2;units=24
7379.50,outbound,depart,truck=65;load_kind=scr;ton=20.0
7385.70,outbound,depart,truck=66;load_kind=flake;ton=22.0
7391.53,outbound,arrive,truck=67;load_kind=scr
7399.59,outbound,arrive,truck=68;load_kind=scr
7406.05,outbound,arrive,truck=69;load_kind=scr
7412.50,press,pallet_done,pallet=159;buffer=0
7429.50,outbound,depart,truck=67;load_kind=scr;ton=20.0
7452.50,casting,scr_done,furnace=2;units=14
7452.50,melting,batch_done,furnace=2
7455.00,press,pallet_done,pallet=160;buffer=0
7455.00,melting,batch_collected,furnace=1;pallets=32
7497.50,press,pallet_done,pallet=161;buffer=0
7536.70,outbound,arrive,truck=70;load_kind=flake
7540.00,press,pallet_done,pallet=162;buffer=0
7582.50,press,pallet_done,pallet=163;buffer=0
